Station,decimalLatitude,decimalLongitude
Eilat,29.520000,34.934444
Roscoff,48.71751,-3.96649
Belgium Coast,51.579833,2.995500
Vigo,42.2284,-8.7787
AdriaticEastCoast,45.316667,12.50000
RavHarbour,44.421488,12.209497
RavMarina,44.492426,12.287623
Getxo,43.338452,-3.014833
Koster,58.875155,11.103194
Galway,53.315693,-9.670278
Svalbard,78.21302778,15.23361111
Rothera,-67.5738333,-68.1252333
Crete,35.343153,25.136605
GulfOfPiran,45.54875,13.5507
Gdynia,54.48522,18.57111
TZS,59.86442,23.265084
Laeso,57.25689,11.14193
Bodo,67.24035,14.711733
Nuuk,64.1405,-51.3906
Daneborg,74.3300,-20.3400
